"","Unique_ID","Site","Block","Position","Genotype","ACI","LT","LPS","LMA","ImageJ_1","ImageJ_2","LBI","logLBI","logACI","logLT","logLPS","logLMA"
"113","CF_19_2_F2WY","CF",19,2,"F2WY",NA,NA,NA,NA,215483,237444,0.0924891763952764,-1.03390908787548,NA,NA,NA,NA
"114","CF_19_3_F2WY","CF",19,3,"F2WY",NA,NA,NA,NA,64732.5,69393.5,0.0667387828050042,-1.17562171835684,NA,NA,NA,NA
"115","CF_19_4_F2WY","CF",19,4,"F2WY",NA,NA,NA,NA,68338,73730,0.073131696731317,-1.13589435037583,NA,NA,NA,NA
"116","CF_19_5_F2WY","CF",19,5,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","CF_19_6_F2WY","CF",19,6,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","CF_19_7_F2YW","CF",19,7,"F2YW",NA,NA,NA,NA,100030,110178,0.0921055020058451,-1.0357144260528,NA,NA,NA,NA
"119","CF_19_8_F2YW","CF",19,8,"F2YW",NA,NA,NA,NA,119684,129583,0.0763911932892432,-1.11695670590522,NA,NA,NA,NA
"120","CF_19_9_F2YW","CF",19,9,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","CF_21_10_F2YW","CF",21,10,"F2YW",NA,NA,NA,NA,30543.5,32315.5,0.0409163823682249,-1.38810277151342,NA,NA,NA,NA
"122","CF_21_11_F2YW","CF",21,11,"F2YW",NA,NA,NA,NA,140308,147294,0.0474289516205684,-1.32395647497778,NA,NA,NA,NA
"123","CF_21_12_F2YW","CF",21,12,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","CF_21_13_G","CF",21,13,"G",NA,NA,NA,NA,101443,108095,0.0615384615384615,-1.21085336531489,NA,NA,NA,NA
"125","CF_21_14_G","CF",21,14,"G",0,NA,NA,NA,NA,NA,NA,NA,-Inf,NA,NA,NA
"126","CF_21_15_G","CF",21,15,"G",1.53333333333333,240,NA,NA,NA,NA,NA,NA,0.185636576961912,2.38021124171161,NA,NA
"127","CF_21_16_G","CF",21,16,"G",3.56666666666667,221.5,NA,NA,NA,NA,NA,NA,0.552262522965547,2.34537373055909,NA,NA
"128","CF_21_17_G","CF",21,17,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","CF_21_18_G","CF",21,18,"G",0,NA,NA,NA,NA,NA,NA,NA,-Inf,NA,NA,NA
"130","CF_21_19_L","CF",21,19,"L",1.16666666666667,273,NA,NA,14089,14647,0.0380965385403154,-1.41911448262184,0.0669467896306132,2.43616264704076,NA,NA
"131","CF_21_1_F2WY","CF",21,1,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","CF_21_20_L","CF",21,20,"L",0.966666666666667,242,NA,NA,NA,NA,NA,NA,-0.0147232568207063,2.38381536598043,NA,NA
"133","CF_21_21_L","CF",21,21,"L",0.633333333333333,226,NA,NA,NA,NA,NA,NA,-0.198367653766833,2.3541084391474,NA,NA
"134","CF_21_22_L","CF",21,22,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","CF_21_23_L","CF",21,23,"L",1.3,278.5,NA,NA,NA,NA,NA,NA,0.113943352306837,2.44482519950975,NA,NA
"136","CF_21_24_L","CF",21,24,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","CF_21_2_F2WY","CF",21,2,"F2WY",NA,NA,NA,NA,91830.5,99234,0.0729931653906028,-1.13671780251113,NA,NA,NA,NA
"138","CF_21_3_F2WY","CF",21,3,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","CF_21_4_F2WY","CF",21,4,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","CF_21_5_F2WY","CF",21,5,"F2WY",NA,NA,NA,NA,19623,23246,0.155854770713241,-0.807279899433181,NA,NA,NA,NA
"141","CF_21_6_F2WY","CF",21,6,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","CF_21_7_F2YW","CF",21,7,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","CF_21_8_F2YW","CF",21,8,"F2YW",NA,NA,NA,NA,14942,15478,0.0346297971314123,-1.46055005263091,NA,NA,NA,NA
"144","CF_21_9_F2YW","CF",21,9,"F2YW",NA,NA,NA,NA,57508,59690,0.0365555369408611,-1.43704683263935,NA,NA,NA,NA
"145","CF_23_10_F2YW","CF",23,10,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","CF_23_11_F2YW","CF",23,11,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","CF_23_12_F2YW","CF",23,12,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","CF_23_13_G","CF",23,13,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","CF_23_14_G","CF",23,14,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","CF_23_15_G","CF",23,15,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","CF_23_16_G","CF",23,16,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","CF_23_17_G","CF",23,17,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","CF_23_18_G","CF",23,18,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","CF_23_19_L","CF",23,19,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","CF_23_1_F2WY","CF",23,1,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","CF_23_20_L","CF",23,20,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","CF_23_21_L","CF",23,21,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","CF_23_22_L","CF",23,22,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","CF_23_23_L","CF",23,23,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","CF_23_24_L","CF",23,24,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","CF_23_2_F2WY","CF",23,2,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","CF_23_3_F2WY","CF",23,3,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","CF_23_4_F2WY","CF",23,4,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","CF_23_5_F2WY","CF",23,5,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","CF_23_6_F2WY","CF",23,6,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","CF_23_7_F2YW","CF",23,7,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","CF_23_8_F2YW","CF",23,8,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","CF_23_9_F2YW","CF",23,9,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","CF_25_10_F2YW","CF",25,10,"F2YW",NA,NA,NA,NA,10944,12119,0.0969551943229639,-1.01342891886613,NA,NA,NA,NA
"170","CF_25_11_F2YW","CF",25,11,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","CF_25_12_F2YW","CF",25,12,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","CF_25_13_G","CF",25,13,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","CF_25_14_G","CF",25,14,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","CF_25_15_G","CF",25,15,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","CF_25_16_G","CF",25,16,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","CF_25_17_G","CF",25,17,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","CF_25_18_G","CF",25,18,"G",NA,NA,NA,NA,96456,99524,0.0308267352598368,-1.51107246728501,NA,NA,NA,NA
"178","CF_25_19_L","CF",25,19,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","CF_25_1_F2WY","CF",25,1,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","CF_25_20_L","CF",25,20,"L",NA,NA,NA,NA,6710,7386,NA,NA,NA,NA,NA,NA
"181","CF_25_21_L","CF",25,21,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","CF_25_22_L","CF",25,22,"L",NA,NA,NA,NA,8542,11530,NA,NA,NA,NA,NA,NA
"183","CF_25_23_L","CF",25,23,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","CF_25_24_L","CF",25,24,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","CF_25_2_F2WY","CF",25,2,"F2WY",NA,186.666666666667,NA,NA,37542,39352,0.0459951209595446,-1.33728823468209,NA,2.27106677228654,NA,NA
"186","CF_25_3_F2WY","CF",25,3,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","CF_25_4_F2WY","CF",25,4,"F2WY",NA,NA,NA,NA,25944,28147,NA,NA,NA,NA,NA,NA
"188","CF_25_5_F2WY","CF",25,5,"F2WY",NA,183.333333333333,NA,NA,51334,53776,0.0454105920856888,-1.34284283551654,NA,2.26324143477458,NA,NA
"189","CF_25_6_F2WY","CF",25,6,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","CF_25_7_F2YW","CF",25,7,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","CF_25_8_F2YW","CF",25,8,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","CF_25_9_F2YW","CF",25,9,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","CF_27_10_F2YW","CF",27,10,"F2YW",NA,NA,NA,NA,43421,49936,0.130466997757129,-0.884499331272654,NA,NA,NA,NA
"194","CF_27_11_F2YW","CF",27,11,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","CF_27_12_F2YW","CF",27,12,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","CF_27_13_G","CF",27,13,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","CF_27_14_G","CF",27,14,"G",NA,NA,NA,NA,102491,109687,0.0656048574580397,-1.18306400377795,NA,NA,NA,NA
"198","CF_27_15_G","CF",27,15,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","CF_27_16_G","CF",27,16,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","CF_27_17_G","CF",27,17,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","CF_27_18_G","CF",27,18,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","CF_27_19_L","CF",27,19,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","CF_27_1_F2WY","CF",27,1,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","CF_27_20_L","CF",27,20,"L",NA,NA,NA,NA,20988,22383,0.062324085243265,-1.20534408709964,NA,NA,NA,NA
